SMILES Labelled,ConBase_pKa,pB,qB,Reference
[NH2:10]CCC(Oc(cc1)ccc1[N+]([O-])=O)=O,9.17,3,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[NH2:10]CCC(NCCc1c[nH]cn1)=O,9.21,3,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[NH2:10]CCC(NC(Cc1cnc[nH]1)C([O-])=O)=O,9.35,3,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[NH2:10]CCC(NC(Cc1cnc[n]1C)C([O-])=O)=O,9.53,3,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[NH2:10]CCC(NC(Cc1c[nH]cn1)C([O-])=O)=O,9.48,3,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[NH2:10]CCc(cc1)ccc1OC,9.79,3,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[NH2:10]CCc(cc1)ccc1O,9.45,3,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[NH2:10]CCc(cc1)ccc1Cl,9.66,3,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[NH2:10]CCc(cc1)ccc1C(OCC)=O,9.58,3,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[NH2:10]CCc(cc1)ccc1Br,9.65,3,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[NH2:10]CCc(cc1)ccc1[O-],10.39,3,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[NH2:10]CCc(cc1)ccc1[N+]([O-])=O,9.42,3,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[NH2:10]CCc(cc1)cc(OC)c1OC,9.87,3,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[NH2:10]CCc(cc1)cc(O)c1O,8.89,3,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[NH2:10]CCC(c1ccccc1)=O,8.3,3,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[NH2:10]CCC(C)C,10.93,3,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[NH2:10]CCC([O-])=O,10.22,3,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[NH2:10]CCBr,8.5,3,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[NH2:10]Cc1nnn[n-]1,8.54,3,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[NH2:10]Cc1ncccc1,8.47,3,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[NH2:10]Cc1nc(cccc2)c2[nH]1,8.02,3,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[NH2:10]Cc1ccncc1,8.3,3,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[NH2:10]Cc1cccnc1,8.33,3,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[NH2:10]Cc1ccccc1,9.36,3,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[NH2:10]CC1CCCCC1,10.52,3,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[NH2:10]Cc1cccc(S(N)(=O)=O)c1,8.55,3,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[NH2:10]Cc1cccc(OC)c1OC,9.41,3,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[NH2:10]Cc1cccc(OC)c1O,8.7,3,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[NH2:10]Cc1cccc(O)c1OC,8.89,3,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[NH2:10]Cc1cccc(O)c1O,8.3,3,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
