SMILES Labelled,ConBase_pKa,Reference
[NH:10](C)c1ccc[nH+]c1,-2.17,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[S-:10]c1[n+](C)ccc2ccccc12,-2.13,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[O-:10]c(c1ccccc1[nH+]c1)c1C#N,-2.08,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[O:10]=C(/c1ccccc1)\N(c1ccccc1)O,-2.08,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
C1CC[O:10]C1,-2.08,"Arnett, E. M.; Wu, C. Y. J. Am. Chem. Soc. 1962, 84, 1684 - 1688."
[O-:10]c1[nH+]ncc2ccccc12,-2,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[N:10]#CN(CC)CC,-2,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[N:10](C)(C)c1ccc[nH+]c1,-1.91,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
CC(C)(O)[OH:10],-1.91,"Guthrie, J. P. J. Am. Chem. Soc. 1978, 100, 5892 - 5904."
[S-:10]c1[nH+]ccc2ccccc12,-1.9,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[S:10]=C(/C)\NC,-1.9,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[O:10]=P(C)(Cc1ccccc1)c1ccccc1,-1.82,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[O:10]=C1\N(C)C=Cc2c\1cccc2,-1.8,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[NH3+]c1ccccc1c3[n:10]c2ccccc2s3,-1.8,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[O-:10]c1[nH+]nccc1,-1.8,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[O:10]=S(\C)/C(C)(C)C,-1.71,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[N:10]1(CN(C2)C3)C[NH+]3CN2C1,-1.7,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[O-:10][n+](cc1)ccc1[N+]([O-])=O,-1.7,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[O-:10]c1[nH+]c(cccc2)c2[nH]1,-1.7,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[O-:10]c(cccc1)[n+]1OCc1ccccc1,-1.7,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[O-:10][n+](c1ccccc11)c(cccc2)c2[n+]1[O-],-1.62,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[S:10]=C1\N(C)c(cccc2)c2C=C\1,-1.6,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[NH2:10]c(c1ccccc1cc1)c1[N+]([O-])=O,-1.6,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[n:10]([n](C)c(C)c1)c1-c1[nH+]cccc1,-1.6,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[n:10](cccc1)c1-c1[nH+]c(cccc2)c2[nH]1,-1.59,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
CS(C)=[O:10],-1.54,"Bagno, A.; Scorrano, G. J. Am. Chem. Soc. 1988, 110, 4577 - 4582."
[S-:10]c1[nH+]c2ccccc2cc1,-1.44,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[S-:10]c1[n+](C)cccc1,-1.42,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
O=[N+]([O-:10])[O-],-1.4,Reich Table
[O-:10]c1[nH+]c2ccccc2nc1,-1.37,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[NH:10](C(C)CCC[NH+](CC)CC)c1cc(OC)cc2ccc[nH+]c12,-1.33,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[O-:10]c(cccc1)[n+]1OC,-1.3,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[n:10]1c[nH]c([N+]([O-])=O)c1Cl,-1.3,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[n:10](cc(C1[NH+](C)CCC1)cc1)c1Cl,-1.3,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[n:10](cccc1)c1-c1[nH+]c(cccc2)c2[n]1C,-1.27,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
[NH:10](c1ccccc1)c1cccc([N+]([O-])=O)c1,-1.27,"Sander, T.; Freyss, J.; von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460 - 473."
