SMILES Labelled,ConBase_pKa,pB,qB,Reference
[N:10]1(CCC[NH+]2CCCCC2)CCCCC1,7.97,2,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCC[NH+]2CCCC2)CCCC1,8.03,2,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCC[NH+](CC(C)O)CC(C)O)CCOCC1,5.5,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCC)CCCCC1,10.45,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCC(c2ccccc2)c2ccccc2)CCOCC1,7.25,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCC(c2ccccc2)c2ccccc2)CCCCC1,8.96,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCC(c2ccccc2)=O)CCOCC1,6.5,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCC(c2ccccc2)=O)CCCCC1,9.23,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCC(c2ccccc2)(c2ccccc2)C#N)CCOCC1,6.09,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCC(c2ccccc2)(c2ccccc2)C#N)CCCCC1,8.07,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCC(c2cccc(Br)c2)=O)CCOCC1,6.8,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCC(c2cccc([N+]([O-])=O)c2)=O)CCOCC1,6.5,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCC(c2cc(OC)ccc2)=O)CCOCC1,7.1,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCC(C)=O)CCOCC1,6.66,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCC(C(CCC)=O)(c2ccccc2)c2ccccc2)CCOCC1,7.17,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCC(C(CC)=O)(c2ccccc2)c2ccccc2)CCOCC1,6.98,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCC(C(CC)=O)(c2ccccc2)c2ccccc2)CCCCC1,8.86,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCC(C(c2ccccc2)c2ccccc2)=O)CCOCC1,6.39,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCC(C(C)CC)=O)CCOCC1,7.07,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CCC(C(C)=O)(c2ccccc2)c2ccccc2)CCOCC1,6.83,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
[N:10]1(CC2OC2)CCOCC1,5.88,1,1,"Sander, T.; Freyss, J.;  von Korff, M.; Rufener, C. J. Chem. Inf. Model. 2015, 55, 460–473."
